Front	Back	Tags	Source
How does battle rhythm affect LOGSYNC quality?	LOGSTAT submission cycles must feed the LOGSYNC at the right time; otherwise the meeting uses stale data or cannot turn inputs into decisions.	logistics logsync	Logistics Synchronization.md
What should a LOGSYNC matrix capture?	It should capture supported units, logistics tasks, commodities, timing, locations, responsible parties, movement windows, and decision triggers.	logistics logsync	Logistics Synchronization Matrix.md
Why is the LOGSYNC matrix a fighting product for a SPO?	It turns requirements into executable support actions that can be tracked, adjusted, and communicated across supported units and sustainment providers.	logistics logsync	S4 Officer.md; Support Operations Officer.md
How does a LOGSYNC matrix differ from a LOGSTAT?	A LOGSTAT reports status and requirements; a LOGSYNC matrix organizes the plan for meeting those requirements.	logistics logsync	Logistics Status.md; Logistics Synchronization Matrix.md
What problem does an LCOP solve?	An LCOP gives commanders and sustainers a shared view of supply, movement, readiness, and sustainment status so decisions are based on the same picture.	logistics lcop	Logistics Common Operating Picture.md
Why is BRAG useful in an LCOP?	BRAG status makes supply or readiness risk scannable, letting leaders spot green, amber, red, and black conditions quickly.	logistics lcop	Black, Red, Amber, Green.md; Logistics Common Operating Picture.md
What is the limitation of BRAG status?	Color status compresses detail; leaders still need underlying quantities, thresholds, and trend data to make allocation decisions.	logistics lcop	Black, Red, Amber, Green.md
Why should humans be able to override projected LCOP values?	Projections are models; humans may know about contact, damaged equipment, hidden stocks, bad reports, or changed plans that the model has not captured.	logistics lcop	Logistics Common Operating Picture.md
What is a red or black BRAG status telling a logistician?	Red signals significantly degraded capability needing support; black signals severe shortage or non-mission-capable status requiring urgent action.	logistics readiness	Black, Red, Amber, Green.md
What is the main purpose of classes of supply?	Classes of supply group commodities so units can plan, report, forecast, and assign commodity managers consistently.	logistics supply	Class of Supply.md
Which supply classes usually dominate tactical sustainment conversations?	Class I food and water, Class III fuel, Class V ammunition, Class VIII medical materiel, and Class IX repair parts often drive immediate operational endurance.	logistics supply	Class of Supply.md
Why can commodity classes require different forecasting logic?	Fuel and water may follow rates; ammunition depends on contact and mission; medical supplies can spike after casualties; repair parts depend on failures.	logistics supply	Class of Supply.md; Logistics Status.md
When should you use an NSN instead of a local item name?	Use the NSN when ordering, tracking, or coordinating an item across units, services, agencies, or vendors that may use different names or part numbers.	logistics supply	National Stock Number.md
What problem does an NSN prevent?	It prevents ambiguity by giving a standardized 13-digit identifier for the exact item of supply.	logistics supply	National Stock Number.md
How do FSC and NIIN relate inside an NSN?	The first four digits are the Federal Supply Class; the last nine digits are the National Item Identification Number identifying the specific item.	logistics supply	National Stock Number.md
Why do Unit of Issue, Unit of Measure, and QUP matter in LOGSTATs and ordering?	If packaging and measurement are confused, a request for one case, box, gallon, or each can become the wrong quantity in the real world.	logistics supply	Unit of Issue.md; Unit of Measure.md; Quantity Per Unit Pack.md
How does Unit of Issue differ from Unit of Measure?	Unit of Issue is the packaging or issue grouping; Unit of Measure is the physical measurement basis such as count, length, mass, or volume.	logistics supply	Unit of Issue.md; Unit of Measure.md
What does QUP clarify that U/I alone may not?	QUP states how many individual items are inside one package or issue unit.	logistics supply	Quantity Per Unit Pack.md
When is GCSS-Army the relevant system in a logistics workflow?	GCSS-Army is relevant for Army supply, maintenance, property accountability, work orders, readiness data, and related financial logistics processes.	logistics systems	GCSS-Army.md
Why does GCSS-Army matter to readiness rather than only accounting?	It links supply and maintenance data to equipment status, work orders, parts availability, and property accountability.	logistics systems	GCSS-Army.md
What problem does a CRSP solve?	A Central Receiving and Shipping Point receives, stages, sorts, tracks, and forwards cargo so equipment and supplies move to the correct unit with visibility.	logistics distribution	Central Receiving and Shipping Point.md
How is a CRSP like a sorting hub?	It centralizes inbound and outbound cargo processing, in-transit visibility, staging, and forwarding rather than letting every unit handle shipments separately.	logistics distribution	Central Receiving and Shipping Point.md
What is a LOGPAC in practical terms?	A LOGPAC is a planned resupply package or convoy that moves essential supplies like fuel, ammunition, food, water, and repair parts to forward units.	logistics distribution	Logistics Package.md
What tradeoff appears when building water resupply into a LOGPAC?	Large containers reduce packaging work but slow refill at the point of use; smaller containers speed handoff but take more time to build into packages.	logistics distribution	Logistics Package.md
Why can time spent refilling water become a tactical risk?	The longer a unit is stationary at a water point or container, the more exposed it becomes to detection, targeting, or delay.	logistics distribution	Logistics Package.md
How does a LOGPAC differ from a movement?	A LOGPAC is the resupply package or convoy; a movement is the planned or active act of moving it from origin to destination.	logistics movement	Movement.md; Logistics Package.md
What does a movement record need to be executable?	It should include origin, destination, assigned convoy or movers, load, departure time, ETA or required delivery time, route, and status.	logistics movement	Movement.md
How does movement control differ from movement?	Movement is the act or plan for a specific move; movement control coordinates, schedules, routes, prioritizes, and regulates many movements.	logistics movement	Movement.md
When should a planner treat an MSR as a key constraint?	An MSR becomes a key constraint when most supplies, personnel, or equipment must move over that route network and enemy action, congestion, or terrain can disrupt it.	logistics movement	Main Supply Route.md
Why is an MSR not just a road on a map?	It is a designated route network that carries operational importance for sustaining the force, so its security, capacity, and status affect the plan.	logistics movement	Main Supply Route.md
What problem does an LRP solve?	An LRP gives supplying and receiving units a planned time and place for handoff, reducing how far larger support elements must push forward.	logistics distribution	Logistics Release Point.md
Why can an LRP reduce risk to the supply chain?	It lets main support elements transfer cargo short of the most exposed forward positions while receiving units complete final distribution.	logistics distribution	Logistics Release Point.md
How does an LRP differ from a supply point?	An LRP is a handoff location and time between units; a supply point is a location where commodities are stored, issued, or picked up.	logistics distribution	Logistics Release Point.md
What is a Logistics Support Area in the traditional sense?	It is a staging and support area where sustainment resources, vehicles, and convoys are organized before movement.	logistics support-areas	Logistics Support Area.md
Why is the acronym LSA ambiguous in this index?	LSA can mean Logistics Support Area or Light Support Area, so context matters and bare acronym use can mislead readers.	logistics support-areas	Logistics Support Area.md; Light Support Area.md
What problem does a BSA solve for a brigade?	A BSA centralizes brigade-level receiving, storage, distribution, maintenance, medical support, and sustainment command and control.	logistics support-areas	Brigade Support Area.md
What is the main vulnerability of a large centralized BSA in LSCO?	It can become a detectable, targetable concentration of supplies, vehicles, maintenance, medical capability, and command activity.	logistics support-areas	Brigade Support Area.md; army.mil/article/284103
What tradeoff does a BSA manage?	It must be close enough to support maneuver but far enough and dispersed enough to survive enemy fires, sensing, and disruption.	logistics support-areas	Brigade Support Area.md
How does a Division Support Area differ from a BSA?	A BSA supports brigade operations; a DSA supports division-level sustainment coordination, larger allocation problems, and support across multiple brigades.	logistics support-areas	Division Support Area.md; Sustainment.md
Why is the company trains concept important?	Company trains are the closest sustainment assets to the fight, handling immediate support and connecting the company to battalion sustainment.	logistics trains	Company Trains.md
What usually belongs in company trains?	The company logistics tail can include the supply sergeant, armorer, medics or evacuation team, company vehicles, and supplies like food, water, ammunition, and immediate support equipment.	logistics trains	Company Trains.md
How do company trains differ from the CTCP?	Company trains support one company directly; the CTCP is the battalion-level forward logistics node coordinating immediate sustainment across the battalion.	logistics trains	Company Trains.md; Combat Trains Command Post.md
What is the CTCP's main job?	The CTCP coordinates battalion-level immediate sustainment close to the fight, including fuel, ammunition, water, maintenance, recovery, casualty collection, and evacuation coordination.	logistics trains	Combat Trains Command Post.md
Why is the CTCP placed forward but not on the front line?	It must be close enough to support combat operations quickly but far enough back to avoid direct contact when possible.	logistics trains	Combat Trains Command Post.md
How does the CTCP relate to the battalion TOC and FTCP?	The CTCP coordinates immediate sustainment with the battalion TOC and links forward company needs to the rear field trains and higher sustainment nodes.	logistics trains	Combat Trains Command Post.md
What is the FTCP's role compared with the CTCP?	The FTCP manages rear battalion sustainment and administration; the CTCP handles immediate forward sustainment closer to the fight.	logistics trains	Field Trains Command Post.md
Why is the FTCP usually farther back than the CTCP?	It handles less immediate but essential support and coordination with BSA, SPO, commodity managers, and higher sustainment nodes.	logistics trains	Field Trains Command Post.md
What is the correct closest-to-farthest sustainment sequence in the local notes?	Company trains, CTCP, FTCP, then BSA.	logistics trains	Company Trains.md; Combat Trains Command Post.md
What is a Forward Support Company built to do?	An FSC is the lowest multifunctional sustainment unit directly supporting a maneuver battalion with feeding, distribution, maintenance, fuel, ammunition, and general supply.	logistics units	Forward Support Company.md
How does an FSC differ from a specialized logistics company?	An FSC combines multiple sustainment functions for a battalion, while a specialized company may focus on one function such as petroleum or maintenance.	logistics units	Forward Support Company.md
Why is the FSC commander important to a battalion?	The FSC commander is often the supported battalion's senior logistician and helps translate battalion requirements into direct support.	logistics units	Forward Support Company.md
How does an FSC relate to a BSB?	FSCs are associated with or attached from the BSB but directly support specific battalions in the brigade.	logistics units	Forward Support Company.md; Brigade Support Battalion.md
What is the BSB's main role in a brigade?	The BSB provides brigade-level supply, maintenance, medical, distribution, and sustainment command and control for a BCT.	logistics units	Brigade Support Battalion.md
Why does the BSB operate from a BSA?	The BSA gives the BSB a brigade-level base or base cluster for receiving supplies, controlling support operations, and distributing support to FSCs and battalions.	logistics units	Brigade Support Battalion.md; Brigade Support Area.md
What capabilities commonly sit inside a BSB?	A BSB may include headquarters, field maintenance, distribution, brigade support medical capability, and FSCs that support maneuver battalions.	logistics units	Brigade Support Battalion.md
When does a BSB need higher-echelon help?	It needs higher support when brigade organic capacity lacks capabilities such as extra transportation, water treatment, bulk supply, or specialized maintenance.	logistics units	Brigade Support Battalion.md
How does a DSSB differ from a CSSB?	A DSSB is division-aligned and optimized to support its assigned division; a CSSB is more modular and often provides multifunctional support above brigade or by attachment.	logistics units	Division Sustainment Brigade.md; Logistics (Index).md
What does a Division Sustainment Brigade add above brigade sustainment?	A DSB synchronizes division-level sustainment, commands division sustainment units, and allocates support across multiple brigades.	logistics units	Division Sustainment Brigade.md
Why is division-level sustainment not just a bigger BSB?	The division must integrate multiple brigades and scarce capabilities such as transportation, fuel, ammunition, maintenance, medical support, and theater links.	logistics units	Sustainment.md; Division Sustainment Brigade.md
What does an ESC add above division sustainment?	An ESC extends theater sustainment command capability forward and coordinates operational sustainment across large or geographically separated operations.	logistics echelons	Expeditionary Sustainment Command.md
When is an ESC especially useful?	It is useful when a TSC needs a forward operational sustainment headquarters to manage support across multiple divisions, sustainment brigades, or fragmented areas.	logistics echelons	Expeditionary Sustainment Command.md
What is the Theater Sustainment Command's role?	The TSC is the senior Army sustainment headquarters in a theater, linking Army forces to theater, joint, contractor, host-nation, and industrial logistics support.	logistics echelons	Logistics (Index).md; Sustainment.md
How should you think about the sustainment echelon ladder from front line to theater?	Company trains and FSCs solve immediate tactical needs; BSB and DSB synchronize brigade and division support; ESC and TSC connect the force to operational and theater logistics.	logistics echelons	Sustainment.md
What is the S4's core question?	The S4 asks what the supported unit needs to keep operating, with an internal focus on supply, maintenance, transportation, property accountability, and sustainment planning.	logistics staff	S4 Officer.md
What is the SPO's core question?	The SPO asks how the sustainment unit will provide the right support to all supported units at the right time and place.	logistics staff	Support Operations Officer.md
How does an S4 differ from a SPO?	The S4 manages internal logistics for the supported unit; the SPO plans and synchronizes external support from a sustainment unit to supported units.	logistics staff	S4 Officer.md; Support Operations Officer.md
Why do S4 and SPO roles sometimes blur in practice?	The brigade S4 shop may lack depth for commodity management, so the SPO shop with commodity managers may end up doing requirement assessment that should remain coordinated with the S4.	logistics staff	S4 Officer.md; Logistics Status.md
What failure mode happens when S4 and SPO are not aligned?	Requirements slip through cracks, LOGSTAT routing becomes confused, and support plans may diverge from the supported unit's actual needs.	logistics staff	S4 Officer.md
Why are commodity managers useful in a SPO shop?	They focus on specific classes of supply across supported units, improving forecasting, inventory assessment, and mitigation of supply disruptions.	logistics staff	S4 Officer.md
What does push logistics optimize for?	Push logistics optimizes for anticipatory support by sending supplies forward based on forecasts, schedules, and command priorities before units submit specific requests.	logistics push-pull	Logistics (Index).md
What is the main risk of push logistics?	It can send the wrong supplies or overload the distribution system if forecasts are wrong or the tactical situation changes.	logistics push-pull	Logistics (Index).md
What does pull logistics optimize for?	Pull logistics optimizes for responsiveness to actual demand because units request or draw supplies based on shortages, consumption, or reported need.	logistics push-pull	Logistics (Index).md; Demand Signal.md
What is the main risk of pull logistics?	It can become too slow or reactive if units report late, communications fail, or the supply chain waits for requests while consumption outruns delivery time.	logistics push-pull	Logistics (Index).md
When should logistics lean more push than pull?	Lean push when demand is predictable, lead times are long, communications are unreliable, or the unit must be sustained before it can request support.	logistics push-pull	Logistics (Index).md
When should logistics lean more pull than push?	Lean pull when actual demand is uncertain, units can report reliably, and avoiding excess or wrong-positioned inventory matters.	logistics push-pull	Logistics (Index).md; Demand Signal.md
Why do military logistics systems usually need both push and pull?	Forecasts can position support in time, while real demand signals correct the plan as units consume, move, fight, and report.	logistics push-pull	Sustainment.md; Demand Signal.md
What is the central idea behind the Light Support Battalion model?	The LSB replaces a single centralized BSA model with more dispersed, mobile, and survivable support built around an LSA and multiple LLCs.	logistics light-support	Light Support Battalion.md; army.mil/article/284103
What problem does the LSB model try to solve in LSCO?	It reduces the vulnerability of large centralized sustainment areas to sensing, long-range precision fires, electronic warfare, and forced displacement.	logistics light-support	Light Support Battalion.md; army.mil/article/284103
What is the main tradeoff of the LSB and LLC model?	It gains survivability, redundancy, and mobility, but costs more in forecasting, synchronization, and command-and-control complexity.	logistics light-support	Light Logistics Cluster.md
How does an LSB differ from a traditional BSB model?	A traditional BSB runs a centralized BSA with FSCs habitually supporting battalions; an LSB centralizes planning while task-organizing support through LLCs, CLPs, and CRTs.	logistics light-support	Light Support Battalion.md
What is a Light Support Area?	A Light Support Area is a distributed sustainment area operated by an LSB and composed of multiple Light Logistics Clusters instead of one centralized BSA.	logistics light-support	Light Support Area.md; army.mil/article/284103
How does a Light Support Area improve survivability?	It spreads sustainment capability across smaller nodes so one attack, detection, or displacement does not collapse the entire support system.	logistics light-support	Light Support Area.md; Light Logistics Cluster.md
What is a Light Logistics Cluster?	An LLC is a smaller sustainment node inside a Light Support Area that can provide or redistribute capabilities such as fuel, water, ammunition, supply, maintenance, and medical support.	logistics light-support	Light Logistics Cluster.md
How do LLC Blue and LLC Red or White differ in the local model?	LLC Blue acts as the rear receiver and redistributor; LLC Red and White act as forward multi-class distribution clusters closer to task forces.	logistics light-support	Light Logistics Cluster.md; army.mil/article/284103
What redundancy does the LLC model provide?	If one cluster is attacked or forced to move, another cluster can assume support missions temporarily instead of the whole brigade losing one central BSA.	logistics light-support	Light Logistics Cluster.md
Why is forecasting the weak point of the LLC model?	Without habitual FSC commanders embedded with each supported battalion, TF S4s and the SPO must keep requirements accurate across a more distributed system.	logistics light-support	Light Logistics Cluster.md
What is a Combat Logistics Platoon in the LSB model?	A CLP is a task-organized forward distribution element that pushes fuel, water, ammunition, food, and LOGPACs from the LSB toward maneuver units.	logistics light-support	Combat Logistics Platoon.md
How does a CLP differ from a Combat Repair Team?	A CLP moves supplies forward; a CRT provides forward maintenance, recovery, diagnostics, and urgent repair support.	logistics light-support	Combat Logistics Platoon.md; Combat Repair Team.md
What problem does a Combat Repair Team solve?	A CRT keeps combat platforms operational near the fight by providing field repairs, recovery support, diagnostics, battle damage repair, and repair-parts coordination.	logistics maintenance	Combat Repair Team.md
How does the LSB prototype change the old FSC relationship?	It shifts from fixed habitual FSC support for each battalion toward centralized planning and task-organized forward support packages.	logistics light-support	Light Support Battalion.md
What is the main logistics role of a battalion?	A battalion is the lowest echelon with a significant staff and limited independent operating ability, so it has meaningful sustainment planning through the S4, FSC, CTCP, and FTCP.	logistics echelons	Battalion.md; Sustainment.md
Why does brigade matter as a logistics echelon?	A brigade integrates multiple battalions and has a BSB or equivalent support structure to coordinate distribution, maintenance, medical support, and priorities across the formation.	logistics echelons	Brigade.md; Brigade Support Battalion.md
What is the sustainment significance of a BCT?	A BCT is a combined-arms brigade formation with maneuver and support elements, so its logistics must integrate multiple battalions, fires, engineers, reconnaissance, sustainment, and headquarters needs.	logistics echelons	Brigade Combat Team.md
Why does division-level command change logistics complexity?	A division commands multiple brigades and integrates broader capabilities, so sustainment must allocate scarce support across a larger fight rather than only serve one brigade.	logistics echelons	Division.md; Sustainment.md
How does DLA differ from USTRANSCOM?	DLA is about sourcing and supplying common materiel; USTRANSCOM is about moving people and cargo globally.	logistics enterprise	Defense Logistics Agency.md; US Transportation Command.md
How does AMC differ from DLA?	AMC is Army-specific materiel readiness, depots, arsenals, prepositioned stocks, lifecycle support, supply, and maintenance; DLA is joint common supply across the Department of Defense.	logistics enterprise	Army Materiel Command.md; Defense Logistics Agency.md
How does SDDC relate to USTRANSCOM?	SDDC is the Army component focused on surface deployment, distribution, rail, truck, port, and related surface movement within the broader USTRANSCOM enterprise.	logistics enterprise	Surface Deployment and Distribution Command.md; US Transportation Command.md
When is DLA the relevant enterprise actor?	DLA is relevant when the issue is common commodities such as fuel, food, medical materiel, construction supplies, uniforms, and repair parts across the joint force.	logistics enterprise	Defense Logistics Agency.md
When is AMC the relevant enterprise actor?	AMC is relevant when the issue is Army equipment readiness, depots, arsenals, prepositioned stocks, lifecycle support, contracting support, or Army-specific maintenance.	logistics enterprise	Army Materiel Command.md
When is USTRANSCOM the relevant enterprise actor?	USTRANSCOM is relevant when the problem is strategic or global movement of personnel and cargo by air, sea, or surface transportation.	logistics enterprise	US Transportation Command.md
What does RSOI turn into combat power?	RSOI turns arriving personnel, equipment, and supplies into an organized, forward-moving, integrated force ready to operate under a gaining command.	logistics rsoi	Reception, Staging, Onward Movement, and Integration.md
What are the four steps of RSOI?	Reception, staging, onward movement, and integration.	logistics rsoi	Reception, Staging, Onward Movement, and Integration.md
Why is staging critical in RSOI?	Staging links soldiers with equipment, prepares loads, fuel, ammunition, communications, and maintenance, and organizes units for onward movement.	logistics rsoi	Reception, Staging, Onward Movement, and Integration.md
What is the risk of treating RSOI as an administrative arrival process?	In a contested theater, arriving forces may be observed and targeted immediately, so reception and movement must be planned as operational tasks.	logistics rsoi	Reception, Staging, Onward Movement, and Integration.md
What is a Water Buffalo used for?	A Water Buffalo is a towable water trailer used to store and distribute potable water in field conditions.	logistics water	Water Buffalo.md
What is the practical difference between a Water Buffalo and a HIPPO?	A Water Buffalo is a smaller towable water trailer; a HIPPO is a much larger containerized mobile water tank rack used for bulk potable water storage and distribution.	logistics water	Water Buffalo.md; HIPPO.md
Why are water systems operationally important, not just comfort items?	Water affects endurance, field feeding, medical support, heat injury prevention, and how long units can stay dispersed or moving.	logistics water	Water Buffalo.md; HIPPO.md
What problem does third-party logistics solve?	3PL lets an organization outsource logistics functions such as transportation, warehousing, freight coordination, and fulfillment to a specialized provider.	logistics commercial	Third-Party Logistics.md
What is the main tradeoff of using a 3PL?	A 3PL can add capacity and expertise, but it also creates dependence on an outside provider's visibility, responsiveness, security, and incentives.	logistics commercial	Third-Party Logistics.md
How does freight forwarding relate to 3PL?	Freight forwarding is a 3PL-like service where an intermediary coordinates movement across carriers such as ship, air, truck, or rail.	logistics commercial	Third-Party Logistics.md
Why is Combat Logistics Company potentially confusing in this index?	CLC is a Marine Corps tactical logistics company concept, while CLP is an Army light-support prototype concept; similar names do not mean the same organization.	logistics non-army	Combat Logistics Company.md; Combat Logistics Platoon.md
What is a Fleet Logistics Center?	A Navy regional logistics command that supports fleet and shore operations through transport, fuel, cargo, contracting, port services, and related logistics functions.	logistics non-army	Fleet Logistics Center.md
How does a Fleet Logistics Center differ from an Army BSB?	An FLC is a Navy regional operational logistics organization; a BSB is a tactical Army battalion supporting a brigade.	logistics non-army	Fleet Logistics Center.md; Brigade Support Battalion.md
When should you reason in terms of capacity rather than capability?	Sustainers often need capacity, such as gallons, rounds, pallets, trucks, and repair hours, while maneuver units may describe capability; both views must be translated.	logistics reasoning	Logistics Status.md
What is the danger of hidden on-hand stock in a logistics system?	It makes consumption and shortages look wrong, causing planners to misforecast demand and misallocate scarce support.	logistics reasoning	Logistics Status.md
Why is cross-talk important in LOGSYNC?	Units may reveal overages, shortages, timing changes, or conflicts that only matter when other participants connect them to their own requirements.	logistics reasoning	Logistics Synchronization.md
What should you ask if a logistics meeting produced no changed plan, assignment, or decision?	Ask whether it was actually synchronization or just a briefing that consumed battle rhythm time.	logistics reasoning	Logistics Synchronization.md
What is the practical chain from signal to support action?	Supply and demand signals update LOGSTATs or the LCOP; LOGSYNC turns them into a matrix; movements and LOGPACs execute the support plan.	logistics workflow	Logistics Status.md; Logistics Synchronization.md; Logistics Package.md
What is the core workflow from front-line need to brigade support?	Company or platoon need becomes a LOGSTAT, moves through battalion S4 and brigade/SPO channels, is synchronized in LOGSYNC, then becomes a LOGPAC or other support action.	logistics workflow	Logistics Status.md; Sustainment.md
Why can centralized support planning improve allocation?	Centralized planning lets the SPO or LSB reallocate scarce trucks, fuel, maintenance, and commodities to the priority effort instead of locking capacity into fixed slices.	logistics workflow	Light Support Battalion.md; Support Operations Officer.md
What is the downside of replacing habitual FSC support with task-organized support?	Supported units lose a familiar dedicated sustainment slice, so forecasting, trust, communication, and synchronization have to be stronger.	logistics workflow	Light Support Battalion.md; Light Logistics Cluster.md
How should you choose between sending supplies forward and waiting for requests?	Compare lead time, forecast confidence, communication reliability, risk of excess, and the cost of a unit running out before support arrives.	logistics push-pull	Logistics (Index).md; Demand Signal.md
What is the main lesson of contested logistics for support-area design?	Support areas must balance capability concentration against survivability through dispersion, mobility, redundancy, camouflage, and rapid displacement.	logistics contested	Brigade Support Area.md; Light Support Area.md; army.mil/article/284103
Why is "one big logistics hub" attractive but dangerous?	It simplifies control and capacity concentration, but creates a high-value target and single point of disruption.	logistics contested	Brigade Support Area.md; Light Logistics Cluster.md
What is the sustainment implication of long-range precision fires and EW?	Logistics nodes and movements cannot assume a safe rear area; they must reduce signatures, disperse, move, and maintain communications alternatives.	logistics contested	Sustainment.md; Brigade Support Area.md
