Front	Back	Tags	Source
What fields should an idempotency table store?	Store the idempotency key, request hash, status, final response or resource ID, timestamps, and enough scope to prevent collisions across users or tenants. The table turns duplicate requests into lookups instead of repeated side effects.	system-design idempotency	Idempotency.md
Why should a system store a request hash with an idempotency key?	A request hash prevents a client from reusing the same idempotency key for different parameters, such as charging $10 first and $500 later. If the key matches but the hash differs, the server should reject the request, often with a conflict error.	system-design idempotency	Idempotency.md
How should a server handle concurrent requests with the same idempotency key?	The server should atomically record the key as `processing` before doing dangerous work. A duplicate arriving while the first request is still running should not repeat the side effect; it can return `202 Accepted`, `409 Conflict`, or pollable status depending on the API.	system-design idempotency	Idempotency.md
What should a retry receive in response for an already completed idempotent request?	A retry with the same key and same request should usually receive the original result or a stable reference to it, not re-run the operation. This is why strong implementations store the final response or created resource ID with the key.	system-design idempotency	Idempotency.md
How long should a system retain idempotency keys?	Retain keys at least as long as clients, queues, webhooks, or workers may retry the operation, plus enough margin for delayed delivery. Longer retention improves safety but costs storage and can block legitimate reuse unless keys are scoped well.	system-design idempotency	Idempotency.md; general system-design knowledge
Why are uniqueness constraints useful for idempotency?	A database unique constraint on the operation ID or idempotency key protects against racing duplicate requests. Even if two workers or app instances process the same logical operation concurrently, only one insert or state transition can win.	system-design idempotency	Idempotency.md
What is a naturally idempotent operation?	A naturally idempotent operation sets state to a target value instead of incrementing or appending blindly. For example, `set email_verified=true` is idempotent, while `balance = balance - 100` is not safe to repeat.	system-design idempotency	Idempotency.md
How should HTTP method choice affect idempotency design?	Prefer naturally idempotent shapes when they fit: `PUT` replaces or creates a known resource, `DELETE` ensures absence, and `POST` usually needs an idempotency key when it creates side effects like orders or payments. Do not rely on HTTP method names alone if the handler has non-idempotent behavior.	system-design idempotency	Idempotency.md; HTTP.md
How can an API make a create operation idempotent?	Let the client supply a stable resource ID or operation ID, such as creating `PUT /orders/order_abc123` or sending `Idempotency-Key: order_attempt_789`. Repeated requests then target the same logical resource instead of creating a new one each time.	system-design idempotency	Idempotency.md; HTTP.md
What questions should you answer when designing idempotency for an operation?	Define the logical operation identity, who generates the key, where it is stored, how long it is retained, what happens with different parameters, what happens while processing is in progress, what retry result is returned, and whether every side effect is covered.	system-design idempotency	Idempotency.md
What is an idempotent message consumer?	An idempotent consumer assumes messages may be delivered more than once and records processed event IDs or applies naturally idempotent writes. If the same event is redelivered after a crash or missed ack, the handler skips or safely replays it.	system-design idempotency	Idempotency.md
How does the inbox pattern support idempotent consumers?	The inbox pattern stores incoming message IDs before or with processing, often under a uniqueness constraint. If a duplicate message arrives, the inbox insert conflicts and the consumer can skip the already-handled event.	system-design idempotency	Idempotency.md
Why do sagas need idempotent steps and compensations?	Saga steps and compensating actions are often retried after crashes, timeouts, or partial failures. If `reserve inventory`, `capture payment`, or `refund payment` is not idempotent, recovery can create the exact duplicate side effects the saga was meant to control.	system-design idempotency	Idempotency.md; Saga.md
What is the main challenge when making external side effects idempotent?	Your database can record that an email, webhook, or payment should be sent once, but the external provider may still receive duplicates or fail after acting. Strong designs use provider idempotency keys, local send records, reconciliation, and retry-safe status checks.	system-design idempotency	Idempotency.md
What is isolation in database transactions?	Isolation controls how much concurrent transactions can interfere with each other before they commit. It answers: if multiple transactions run at the same time, what unsafe reads or writes are allowed?	system-design isolation	Isolation.md
What is the tradeoff behind isolation levels?	Higher isolation makes concurrent transactions behave more like they ran one at a time, preventing more anomalies. The cost is usually more blocking, validation, retries, aborts, latency, or lower concurrency.	system-design isolation	Isolation.md
How is transaction isolation different from distributed consistency?	Isolation is about interference among concurrent transactions, usually inside a database. Distributed consistency is about what reads observe across replicas, caches, regions, or services after writes.	system-design isolation	Isolation.md; Consistency.md; general system-design knowledge
What is serializable isolation?	Serializable isolation makes concurrent transactions appear as if they ran one at a time in some serial order. It is the strongest common isolation level and is useful when correctness depends on multi-row or multi-table invariants.	system-design isolation	Serializable Isolation.md; Isolation.md
How can a database provide serializable isolation?	Serializable behavior can be achieved by actually running transactions one at a time, pessimistic locking, optimistic validation, serializable snapshot isolation, or similar concurrency-control mechanisms. The common theme is preventing committed histories that could not have happened serially.	system-design isolation	Serializable Isolation.md; Optimistic Concurrency Control.md; Pessimistic Concurrency Control.md
When is serializable isolation worth using for a transaction?	Use serializable isolation when anomalies would violate business invariants, such as double booking, negative inventory, overlapping reservations, uniqueness-like rules, or only-one-active-state constraints. Keep transactions short because contention may cause waiting or retries.	system-design isolation	Serializable Isolation.md; Read Phenomenon.md
What is repeatable read isolation?	Repeatable read isolation prevents a transaction from seeing a previously read row change if it reads that row again. Depending on the database implementation, it may still allow predicate-level or cross-row anomalies such as phantoms or write skew.	system-design isolation	High-Priority-System-Design.md; Isolation.md; general system-design knowledge
What is read committed isolation?	Read committed isolation means a transaction only sees committed data, but each statement may see a different committed snapshot. It prevents dirty reads while still allowing non-repeatable reads, read skew, and phantoms.	system-design isolation	Read Committed Isolation.md; Isolation.md; Read Phenomenon.md
What is read uncommitted isolation?	Read uncommitted isolation allows transactions to see uncommitted changes from other transactions. It gives weak protection and is rarely appropriate for correctness-sensitive systems because rolled-back or intermediate state can influence later decisions.	system-design isolation	High-Priority-System-Design.md; Isolation.md; general system-design knowledge
What is a dirty write?	A dirty write happens when one transaction overwrites data written by another uncommitted transaction. It is extremely dangerous and most databases prevent it even at weaker isolation levels.	system-design isolation	Dirty Write.md; Read Phenomenon.md
What is a dirty read?	A dirty read happens when a transaction reads another transaction's uncommitted data. If the writer rolls back, the reader may have used a value that never officially existed.	system-design isolation	Dirty Read.md; Read Phenomenon.md
What is a non-repeatable read?	A non-repeatable read, or fuzzy read, happens when a transaction reads the same row twice and gets different values because another transaction committed an update between the reads. It is about one previously read row changing.	system-design isolation	Non-Repeatable Read.md; Read Phenomenon.md
What is read skew?	Read skew, or inconsistent read, happens when a transaction reads multiple related rows from different logical points in time. For example, reading one account before a transfer and another after the transfer can make total money appear wrong.	system-design isolation	Read Skew.md; Read Phenomenon.md
How does read skew differ from a non-repeatable read?	A non-repeatable read is about rereading the same row and seeing it change. Read skew is about reading multiple related rows that are individually committed but together do not represent one consistent snapshot.	system-design isolation	Read Phenomenon.md
What is a phantom read?	A phantom read happens when a transaction reruns a predicate query and gets a different set of rows because matching rows were inserted, updated, or deleted. It is like a non-repeatable read over a result set rather than a single row.	system-design isolation	Phantom Read.md; Read Phenomenon.md
Why are phantom reads harder than locking existing rows?	A phantom can come from a row that did not exist or did not match the predicate during the first read. Preventing it may require predicate locks, range locks, serializable validation, exclusion constraints, or making the invariant explicit in the schema.	system-design isolation	Read Phenomenon.md; general system-design knowledge
What is a lost update?	A lost update happens when two transactions read the same value, compute new values, and one write overwrites the other. For example, two increments both read `counter=10` and both write `counter=11`, losing one increment.	system-design isolation	Read Phenomenon.md; general system-design knowledge
What is write skew?	Write skew happens when two transactions read overlapping data, each makes a locally valid update, and together they violate an invariant. The classic example is two doctors both going off call after each sees that the other is still on call.	system-design isolation	Write Skew.md; Read Phenomenon.md
Why is write skew more subtle than a lost update?	In a lost update, two transactions usually overwrite the same item. In write skew, the transactions update different rows, so row-level conflict checks can pass while a cross-row invariant is broken.	system-design isolation	Write Skew.md; Read Phenomenon.md
What is optimistic concurrency control?	Optimistic concurrency control assumes conflicts are rare, lets work proceed without locking, and checks at update or commit time whether the data changed. If the version check fails, the app reloads, retries, merges, or rejects the change.	system-design isolation	Optimistic Concurrency Control.md
When does optimistic concurrency control work well?	OCC works well for read-heavy or low-contention systems where most transactions will not conflict. It avoids long-held locks, but under high contention many workers can repeatedly fail version checks and retry.	system-design isolation	Optimistic Concurrency Control.md
What is pessimistic concurrency control?	Pessimistic concurrency control assumes conflicts are likely and locks data before allowing a transaction to read or modify it. It can prevent lost updates under contention, but reduces concurrency and can cause waits, timeouts, or deadlocks.	system-design isolation	Pessimistic Concurrency Control.md
How should OCC and pessimistic locking be compared in an interview?	OCC lets work proceed in parallel and rejects stale writes at the end; pessimistic locking blocks contenders early and makes them wait. Use OCC when conflicts are rare, and pessimistic locking, queues, atomic updates, or single-writer patterns when many requests fight over the same data.	system-design isolation	Optimistic Concurrency Control.md; Pessimistic Concurrency Control.md
How should isolation anomalies be explained in an interview?	Explain the broken invariant, not only the anomaly name. Dirty reads expose uncommitted state, non-repeatable reads change one row mid-transaction, read skew gives an inconsistent snapshot, phantoms change a predicate result set, lost updates overwrite work, and write skew breaks a cross-row rule.	system-design isolation	Read Phenomenon.md; Isolation.md
How can Postgres be used as a durable work queue?	Postgres can act as a durable work queue by storing jobs in a table and letting workers claim rows transactionally. A common pattern uses status columns, attempts, scheduled times, and `SELECT ... FOR UPDATE SKIP LOCKED` to avoid two workers claiming the same job.	system-design queues	High-Priority-System-Design.md; general system-design knowledge
How can a write path use a Postgres-backed queue?	The app inserts a job row in the same transaction as the business change, then background workers claim pending jobs, perform side effects, and mark them complete or failed. This keeps job creation atomic with database state.	system-design queues	High-Priority-System-Design.md; Transactional Outbox Pattern.md; general system-design knowledge
When is Postgres a reasonable choice for a queue?	Use Postgres as a queue for moderate throughput, transactional coupling, simple operations, and teams that already operate Postgres well. Move to a broker when queue throughput, fanout, retention, replay, or independent scaling outgrow the database.	system-design queues	High-Priority-System-Design.md; general system-design knowledge
What is the transactional outbox pattern?	The transactional outbox pattern writes business data and an outbound event record in the same local database transaction. A relay later publishes the event to a broker, avoiding the dual-write bug where the database commit succeeds but message publishing fails.	system-design outbox	Transactional Outbox Pattern.md
How does the transactional outbox pattern publish an event after a database write?	A service updates its normal tables and inserts an outbox row such as `OrderPlaced` in one transaction. A message relay polls or streams the outbox, publishes to Kafka or SQS, and marks the row sent after publish succeeds.	system-design outbox	Transactional Outbox Pattern.md
What failure mode does the outbox pattern require consumers to handle?	The relay may publish the same outbox event more than once if it crashes after publish but before marking the row sent. Consumers still need idempotency, deduplication keys, or naturally idempotent writes.	system-design outbox	Transactional Outbox Pattern.md; general system-design knowledge
What is change data capture?	Change data capture reads committed database changes, often from a WAL or binlog, and streams them to consumers such as Kafka, search indexes, caches, replicas, or analytics pipelines. It observes state changes after commit rather than requiring the app to publish every event.	system-design cdc	Change Data Capture.md
How is change data capture used to feed downstream systems?	CDC connectors tail the database log, transform row changes into events, track offsets, and deliver them to downstream systems. This is useful for search indexing, materialized views, analytics, cache invalidation, and data replication.	system-design cdc	Change Data Capture.md; general system-design knowledge
How does CDC differ from the outbox pattern?	Outbox is best when the application must create stable semantic events such as `InvoicePaid`; CDC is best when downstream systems need to observe database state changes. Outbox expresses intent, while CDC observes committed mutations.	system-design cdc	Transactional Outbox Pattern.md; Change Data Capture.md
What is a distributed transaction?	A distributed transaction tries to make one logical transaction commit or abort across multiple independent resources, such as two databases or a database plus a broker. It is hard because participants can fail or become unreachable at different points.	system-design transactions	Distributed Transaction.md; general system-design knowledge
What is two-phase commit?	Two-phase commit is a distributed commit protocol where a coordinator first asks participants to prepare, then tells all of them to commit or abort. It gives atomic commit across participants that support it, but it can block when the coordinator fails.	system-design transactions	Two-Phase Commit.md
How does two-phase commit coordinate one transaction across multiple resources?	Use 2PC when all participants support prepare and commit semantics and atomicity across resources is mandatory. In many microservice designs, teams avoid it with local transactions, outbox events, sagas, or compensating actions.	system-design transactions	Two-Phase Commit.md; Transactional Outbox Pattern.md; general system-design knowledge
What is a saga in system design?	A saga breaks a distributed workflow into a sequence of local transactions, each with a compensating action if a later step fails. It trades strict atomicity for operationally manageable eventual consistency.	system-design transactions	High-Priority-System-Design.md; general system-design knowledge
How is a saga used in a checkout flow?	A checkout saga might reserve inventory, authorize payment, create the order, and schedule fulfillment as separate steps. If payment fails, it releases inventory; if fulfillment fails, it may refund or mark the order for manual review.	system-design transactions	High-Priority-System-Design.md; general system-design knowledge
What is a cache in system design?	A cache stores a copy of data closer to the requester or in faster storage so repeated reads avoid expensive work. Every cache needs a freshness, invalidation, eviction, and failure story.	system-design caching	Cache.md
How does cache-aside handle a cache miss?	In cache-aside, the application reads the cache first, loads from the database on a miss, writes the loaded value back to cache, and returns it. The application owns the miss path and must decide how writes invalidate or update cached values.	system-design caching	Cache-Aside.md
What is a read-through cache?	A read-through cache makes the cache layer responsible for loading missing values from the backing store. Callers read through one interface, which centralizes miss handling but couples the cache to loader logic.	system-design caching	Cache Read Strategy.md; Read-Through Cache.md; general system-design knowledge
What is a write-through cache?	A write-through cache writes synchronously to both cache and backing store before acknowledging the write. It improves cache freshness but adds write latency and couples write availability to both systems.	system-design caching	Write-Through Cache.md
What is a write-around cache?	A write-around cache writes directly to the backing store and lets future reads populate the cache on demand. It avoids polluting the cache with cold writes, but the first read after a write may miss.	system-design caching	Write-Around Cache.md
What is a write-back cache?	A write-back cache acknowledges writes after writing to the cache, then asynchronously persists them to the backing store. It can reduce write latency but risks data loss or inconsistency unless the cache and flush path are durable.	system-design caching	Write-Back Cache.md
What separate questions do cache read strategies and cache write strategies answer?	Read strategies decide what happens on cache misses, while write strategies decide how writes affect the cache and backing store. You combine them to match read latency, write latency, freshness, and durability requirements.	system-design caching	Cache.md; Cache Read Strategy.md; Cache Write Strategy.md
What is a TTL in caching?	A TTL is the time a cached value is allowed to live before it expires. It bounds staleness loosely, reduces manual invalidation needs, and can create synchronized expirations if many keys share the same TTL.	system-design caching	Time to Live.md; general system-design knowledge
What is cache eviction?	Cache eviction is removing entries to stay within memory or storage limits. Common policies include least recently used, least frequently used, first in first out, time-based expiration, and application-specific priority.	system-design caching	Cache Eviction Strategy.md; general system-design knowledge
What is cache warming?	Cache warming pre-populates important cache entries before real users request them. It is useful after deploys, restarts, region failovers, or predictable traffic events where cold misses would overload the origin.	system-design caching	High-Priority-System-Design.md; general system-design knowledge
What is refresh-ahead caching?	Refresh-ahead proactively refreshes hot cache entries before they expire so reads keep hitting fresh values. It trades background work for lower read latency and fewer stampedes on known hot keys.	system-design caching	Refresh-Ahead.md
How does refresh-ahead differ from stale-while-revalidate?	Refresh-ahead refreshes before expiry based on access patterns, TTL, or schedules; stale-while-revalidate serves an expired-but-allowed value and refreshes after a read observes staleness. Both reduce user-visible miss latency.	system-design caching	Refresh-Ahead.md; Stale-While-Revalidate.md
What is stale-while-revalidate in caching?	Stale-while-revalidate serves a stale cached value immediately during an allowed stale window while refreshing the value in the background. It is good for pages, feeds, dashboards, and listings where fast stale data is better than slow fresh data.	system-design caching	Stale-While-Revalidate.md
What is a cache stampede?	A cache stampede happens when many requests miss or expire the same cached item at once and all hit the origin. Mitigations include request coalescing, jittered TTLs, stale-while-revalidate, refresh-ahead, and hot-key protection.	system-design caching	Cache Stampede.md; general system-design knowledge
What is an in-process cache?	An in-process cache lives inside one application instance's memory. It is extremely fast and simple, but each instance has its own copy, so invalidation, memory pressure, and consistency across instances are harder.	system-design caching	High-Priority-System-Design.md; general system-design knowledge
What is a client-side cache?	A client-side cache stores responses or state in the browser, mobile app, SDK, or local device. It reduces network latency and server load, but must handle staleness, invalidation, versioning, privacy, and logout correctly.	system-design caching	High-Priority-System-Design.md; general system-design knowledge
What is Redis in system design?	Redis is an in-memory data structure server commonly used for caches, counters, rate limiters, sessions, leaderboards, locks, streams, and lightweight pub-sub. Its speed comes with memory cost, durability tradeoffs, and hot-key risks.	system-design redis	Redis.md
How does an application use Redis as a cache?	Services compute a deterministic key, check Redis first, load from the database on miss, and store the serialized result with a TTL. Good key design, TTL jitter, and invalidation rules matter as much as the Redis call itself.	system-design redis	Redis.md; Cache-Aside.md
Which Redis data structures are useful in system design interviews?	Strings fit cached blobs and counters, hashes fit small objects, sets fit membership, sorted sets fit rankings and time scores, streams fit ordered work or event logs, and geospatial indexes fit nearby-object lookups. Knowing the data structure makes the design concrete.	system-design redis	Redis.md
How should Redis keys be named?	Use predictable names that encode entity type, identifier, scope, and version, such as `user:42:profile:v3` or `tenant:7:rate_limit:login`. Good keys support debugging, invalidation, namespacing, sharding, and avoiding accidental collisions.	system-design redis	Redis.md; general system-design knowledge
What is a Redis hot key?	A hot key is a single Redis key receiving enough traffic to overload the node that owns it. Sharding the keyspace does not fix it unless the hot value itself is split, replicated, cached locally, or protected with request coalescing.	system-design redis	Redis.md
How are Redis streams used for job queues or event logs?	Redis streams store ordered entries under a stream key, and consumer groups track which workers have processed which entries. They can implement fast job queues, but consumers must handle retries, pending entries, and at-least-once processing.	system-design redis	Redis.md
What is Redis Pub/Sub used for in real-time systems?	Redis Pub/Sub broadcasts messages to current subscribers, often for lightweight fanout, cache invalidation, or real-time coordination. It is fast but not durable, so missed subscribers do not automatically replay old messages.	system-design redis	Redis.md; general system-design knowledge
How are Redis sorted sets used for rankings or time-ordered data?	Sorted sets store members ordered by numeric scores, making them useful for leaderboards, top-k lists, priority queues, time windows, and ranked feeds. The common operation is update a member's score, then query a rank or score range.	system-design redis	Redis.md
How are Redis geospatial indexes used for nearby-object lookup?	Redis geospatial commands store locations and search by radius or bounding area, backed by geohash-like scoring in sorted sets. They are useful for nearby drivers, stores, or points of interest, but large hot global indexes may need spatial sharding.	system-design redis	Redis.md
What is TCP termination?	TCP termination means an intermediary such as a load balancer or proxy ends the client's TCP connection and creates a separate connection to the backend. This lets the intermediary manage connection pooling, health checks, routing, and transport-level failover.	system-design networking	TCP Termination.md; general system-design knowledge
What is TLS termination?	TLS termination means decrypting HTTPS traffic at an edge proxy, load balancer, or gateway instead of at the final application server. It centralizes certificate management, inspection, routing, and offload, but backend traffic still needs a deliberate trust model.	system-design networking	TLS Termination.md; general system-design knowledge
How can TCP termination and TLS termination differ?	A proxy can terminate TCP without decrypting TLS if it passes encrypted bytes through, or it can terminate both TCP and TLS to inspect HTTP. TCP is about the transport connection; TLS is about encryption and identity.	system-design networking	TCP Termination.md; TLS Termination.md; general system-design knowledge
What is HTTP keep-alive?	HTTP keep-alive reuses an existing TCP connection for multiple HTTP requests instead of opening a new connection each time. It reduces handshake overhead and is part of normal HTTP connection management.	system-design networking	High-Priority-System-Design.md; general system-design knowledge
