Front	Back	Tags	Source
When is an equatorial orbit useful?	Use equatorial orbits for missions focused near the equator or for GEO, but avoid them when global or high-latitude coverage is required.	satellite orbit	Equatorial Orbit.md
What are orbital elements useful for?	Orbital elements describe orbit size, shape, orientation, and object position, letting systems propagate position and predict coverage.	satellite orbit	Orbital Elements.md
Why does an orbital element set need an epoch?	The elements describe the orbit at a specific time; propagation without the epoch gives the wrong current or future position.	satellite orbit	Orbital Elements.md
How is an ephemeris different from orbital elements?	Orbital elements parameterize an orbit; an ephemeris gives time-indexed position and velocity, often as state vectors over time.	satellite ephemeris	Ephemeris.md
When are precise ephemerides required?	Use precise ephemerides for InSAR, geolocation, and high-accuracy geometry because orbit error can masquerade as surface displacement or map offset.	satellite ephemeris	Ephemeris.md
What does a TLE enable in practical satellite work?	A two-line element set plus SGP4 lets you predict approximate satellite position, ground track, overpass windows, and coverage.	satellite ephemeris	Ephemeris.md
What is the J2 term useful for understanding?	J2 explains orbital precession caused by Earth's equatorial bulge, including why sun-synchronous orbits can maintain consistent solar time.	satellite orbit	J2 Term.md; Satellite.md
Why does atmospheric drag matter most in low orbit?	Trace atmosphere slows LEO satellites, lowering their orbits over time and requiring reboosts or leading to reentry.	satellite orbit	Satellite.md; Low Earth Orbit.md
When is station keeping mission-critical?	It is critical when satellites must maintain an assigned orbit, slot, ground track, or pointing geometry, especially GEO communications and weather satellites.	satellite operations	Station Keeping.md
What happens when a GEO satellite runs out of station-keeping propellant?	It can no longer hold its assigned longitude slot and is usually moved to a graveyard orbit before propellant is exhausted.	satellite operations	Station Keeping.md
What is attitude in spacecraft operations?	Attitude is orientation, meaning roll, pitch, and yaw; it is not the spacecraft's position in orbit.	satellite adcs	Attitude.md
Why is ADCS central to an imaging satellite?	The attitude determination and control system points the payload at targets, solar panels at the Sun, and antennas at ground stations.	satellite adcs	Attitude Determination and Control System.md; Satellite.md
How do star trackers and IMUs complement each other?	IMUs provide continuous relative motion but drift; star trackers provide accurate absolute attitude updates when they can see star fields.	satellite adcs	Satellite.md
When are sun sensors insufficient by themselves?	Sun sensors are coarse and fail during eclipse, so precision pointing usually needs IMUs, star trackers, or other references.	satellite adcs	Satellite.md
What problem do reaction wheels solve?	Reaction wheels rotate or stabilize the satellite electrically by exchanging angular momentum with the spacecraft body without spending propellant.	satellite adcs	Attitude.md; Satellite.md
Why can't reaction wheels be the only attitude actuator forever?	They can saturate as angular momentum builds up, requiring desaturation with magnetorquers or thrusters.	satellite adcs	Satellite.md
When are magnetorquers useful?	Use magnetorquers for low-power attitude control or reaction-wheel desaturation by interacting with Earth's magnetic field, especially in LEO.	satellite adcs	Satellite.md
What is the thermal-control challenge in orbit?	Spacecraft alternate between intense sunlight, cold eclipse, internal heat, and vacuum where heat leaves mainly by radiation, so components need active and passive thermal control.	satellite thermal	Satellite.md
Why is thermal control not just about avoiding overheating?	Batteries, sensors, electronics, and optics can fail or drift if too hot or too cold, so the system must maintain acceptable temperature ranges both in sunlight and eclipse.	satellite thermal	Satellite.md
When does radiation hardening matter most?	It matters for electronics exposed to high-energy particles, especially long missions, high orbits, radiation belts, or missions where single-event effects would be catastrophic.	satellite radiation	Satellite.md
When is propulsion needed after launch?	Propulsion supports orbit insertion, station keeping, collision avoidance, attitude control, reboost, disposal, and deorbiting.	satellite propulsion	Propulsion System.md; Satellite.md
How do chemical and electric propulsion trade off?	Chemical propulsion gives high thrust for fast maneuvers; electric propulsion gives high efficiency and lower propellant mass but much lower thrust.	satellite propulsion	Satellite.md
Why is deorbiting part of responsible satellite design?	Deorbiting reduces long-term debris risk by lowering the satellite for reentry or moving it to an appropriate disposal orbit.	satellite debris	Satellite (Index).md
Why are ground stations a bottleneck for LEO missions?	LEO satellites only have short line-of-sight passes, so data must be downlinked quickly during limited contact windows unless relay links or many stations exist.	satellite ground-station	Ground Station.md
Why are polar ground stations valuable?	Polar-orbiting satellites pass near the poles every orbit, so stations in places like Svalbard, Alaska, or Antarctica can contact them frequently.	satellite ground-station	Ground Station.md
What does cloud-native ground-station service change in EO pipelines?	Downlinked data can land directly in object storage, reducing handoffs and enabling near-real-time processing in the cloud.	satellite ground-station	Ground Station.md
How do uplink and downlink differ?	Uplink sends commands or signals from Earth to the satellite; downlink sends payload data, telemetry, or relay signals from the satellite to receivers.	satellite communications	Satellite (Index).md; Ground Station.md
How does TT&C differ from payload downlink?	TT&C monitors health, tracks position, and sends commands; payload downlink transfers mission data such as imagery or science observations.	satellite communications	Telemetry, Tracking, and Command.md; Satellite.md
Why are low-gain antennas useful for TT&C?	They have wider coverage and are more robust when the spacecraft is tumbling or not precisely pointed, at the cost of lower data rates.	satellite communications	Satellite.md
Why do high-gain antennas need pointing accuracy?	They concentrate energy into a narrow beam for high data rates, so the spacecraft or antenna must point accurately at the ground station.	satellite communications	Satellite.md
What does antenna gain trade off?	Higher gain concentrates signal power in a narrower direction, improving link budget but reducing coverage and increasing pointing requirements.	satellite communications	Gain.md; Satellite.md
When does Doppler shift matter in satellite operations?	It matters for tracking, communication frequency correction, orbit estimation, and moving targets because relative motion shifts received frequency.	satellite communications	Doppler Effect.md
Why is rain fade more severe at Ku and Ka bands?	Higher microwave frequencies are more attenuated by rain and atmospheric water, so high-throughput links need margins, site diversity, coding, or fallback modes.	satellite communications	Satellite (Index).md
Why do higher SATCOM bands often support higher data rates?	Higher-frequency bands can offer more bandwidth and smaller antennas, but they usually need better pointing, more link margin, and more rain-fade mitigation.	satellite communications	Satellite.md
When is L-band attractive?	L-band is useful for GNSS, some SATCOM, and vegetation-sensitive radar because it is relatively resilient and penetrates vegetation better than shorter microwave bands.	satellite microwave	Satellite (Index).md; Synthetic Aperture Radar.md
When is X-band attractive?	X-band is useful for high-resolution radar, EO downlinks, and some defense communications where narrower beams and higher data rates matter.	satellite microwave	Synthetic Aperture Radar.md
When is Ka-band attractive?	Ka-band is useful for high-throughput satellite communications and wideband links, but it demands more rain-fade mitigation and pointing discipline.	satellite microwave	Satellite (Index).md
How does active remote sensing differ from passive remote sensing?	Active sensors emit energy and measure returns; passive sensors measure naturally emitted or reflected energy such as sunlight or thermal radiation.	satellite remote-sensing	Remote Sensing.md
When should active sensing be preferred over passive optical sensing?	Use active sensing when you need your own illumination, range measurement, cloud or night capability, or structural backscatter instead of reflected sunlight.	satellite remote-sensing	Remote Sensing.md
Why is Earth observation not identical to remote sensing?	Earth observation is information gathering about Earth; remote sensing is measurement at a distance and is one major way to do EO.	satellite remote-sensing	Remote Sensing.md
Why is validation mandatory for remote-sensing products?	Outputs can look plausible while hiding class imbalance, seasonal bias, cloud artifacts, sensor differences, or poor generalization, so independent reference data is needed.	satellite remote-sensing	Remote Sensing.md
When is panchromatic imagery useful?	Use panchromatic imagery when high spatial detail is needed and a broad grayscale band is acceptable or will be fused with multispectral data.	satellite optical	Panchromatic.md; Pansharpening.md
Why does panchromatic imagery often have finer GSD than multispectral imagery?	A broad pan band collects more photons than narrow spectral bands, allowing smaller pixels and better signal at higher spatial resolution.	satellite optical	Pansharpening.md
When is multispectral imagery a good fit?	Use MSI for land cover, vegetation, water, agriculture, urban mapping, and indices where a small number of chosen bands are enough.	satellite multispectral	Multispectral.md
When is hyperspectral imagery worth the data and noise burden?	Use HSI when material, mineral, species, chemistry, or subtle spectral signatures matter more than spatial resolution and processing simplicity.	satellite hyperspectral	Hyperspectral.md
Why does hyperspectral imaging often have lower spatial resolution than multispectral imaging?	Narrow bands receive fewer photons, so sensors often need larger pixels or lower spatial resolution to maintain usable signal-to-noise.	satellite hyperspectral	Hyperspectral.md
Why is NIR central to vegetation analysis?	Healthy vegetation reflects near infrared strongly while water absorbs it, making NIR essential for NDVI and vegetation condition analysis.	satellite spectral	Near Infrared.md
When is SWIR especially useful?	Use SWIR for moisture, burn severity, minerals, haze or smoke penetration, and material discrimination invisible in RGB or NIR.	satellite spectral	Short-Wave Infrared.md
When is thermal infrared the right band family?	Use TIR when emitted heat matters, such as land surface temperature, fires, urban heat, evapotranspiration, and energy balance.	satellite thermal-infrared	Thermal Infrared.md
Why does Sentinel-2 not replace Landsat for surface-temperature work?	Sentinel-2 has no thermal band, while Landsat includes thermal infrared sensors useful for land surface temperature.	satellite missions	Thermal Infrared.md; Landsat.md
When is a radar altimeter useful?	Use radar altimetry to measure surface height or range, especially ocean surface height, ice sheets, water levels, or topography profiles.	satellite instruments	Satellite (Index).md
When is a laser altimeter useful?	Use laser altimetry when precise elevation or vertical structure is needed, such as canopy height, ice elevation, or terrain profiles.	satellite instruments	Satellite (Index).md
How does a scatterometer differ from a SAR imager?	A scatterometer measures backscatter over broad areas to infer properties like ocean winds or soil moisture; SAR forms high-resolution images.	satellite instruments	Remote Sensing.md
When is a sounder used?	Use a sounder to profile atmospheric or surface properties by measuring channels sensitive to different heights, temperatures, humidity, or composition.	satellite instruments	Remote Sensing.md
What does GSD tell you that "image size" does not?	Ground sample distance says how much ground one pixel represents, which controls whether objects are resolvable in real-world units.	satellite resolution	Ground Sample Distance.md
Why can off-nadir viewing degrade effective GSD?	Looking sideways increases path length and projection effects, so the same detector samples a larger or more distorted ground area.	satellite geometry	Satellite.md; Nadir.md
How should spatial, temporal, spectral, and radiometric resolution guide sensor choice?	Choose based on the phenomenon: object detail needs spatial; change timing needs temporal; material discrimination needs spectral; subtle intensity differences need radiometric.	satellite resolution	Resolution.md
Why can't one satellite maximize every resolution dimension?	High spatial resolution usually narrows swath and reduces revisit; high spectral resolution reduces photons per band; high temporal coverage often sacrifices detail.	satellite resolution	Resolution.md
When is temporal resolution more important than spatial resolution?	Use high temporal resolution for weather, fires, floods, crop dynamics, and rapidly changing phenomena where timing matters more than fine detail.	satellite resolution	Resolution.md
When does spectral resolution matter more than spatial resolution?	Prioritize spectral resolution for material identification, minerals, vegetation stress, water quality, methane, or chemical discrimination.	satellite resolution	Hyperspectral.md; Resolution.md
Why is off-nadir imagery useful despite distortion?	It enables faster tasking, more revisit opportunities, stereo collection, and imaging targets not directly under the satellite.	satellite geometry	Satellite.md
What is the main gotcha with off-nadir imagery?	It increases geometric distortion, terrain or building lean, atmospheric path length, shadows, and effective GSD, complicating measurement and comparison.	satellite geometry	Satellite.md
How do incidence angle and grazing angle relate in radar geometry?	Incidence is measured from the surface normal; grazing is measured from the surface plane, so they are complementary angles for flat terrain.	satellite sar	Synthetic Aperture Radar.md
Why is orthorectification necessary before measurement?	It corrects terrain relief, sensor geometry, and view angle so the image has map-accurate scale and positions.	satellite preprocessing	Orthoimage.md
When are GCPs still useful if imagery has RPCs and a DEM?	Ground control points improve absolute accuracy and residual bias, especially for precision mapping, cross-sensor comparison, or change detection.	satellite preprocessing	Orthoimage.md
What problem do RPCs solve?	Rational polynomial coefficients approximate sensor geometry so pixels can be projected to the ground for geolocation and orthorectification.	satellite preprocessing	Rational Polynomial Coefficient.md
What is radiance in a satellite measurement workflow?	Radiance is directional energy measured by the sensor per area, solid angle, and wavelength interval; it is closer to what the instrument observes than surface property.	satellite radiometry	Satellite.md
How does irradiance differ from radiance?	Irradiance is incoming energy arriving at a surface per area; radiance is energy traveling in a direction toward the sensor.	satellite radiometry	Satellite.md; Irradiance.md
Why is reflectance more comparable than raw radiance?	Reflectance normalizes reflected energy by incoming energy, making scenes more comparable across illumination and acquisition conditions.	satellite radiometry	Satellite (Index).md
How does surface reflectance differ from top-of-atmosphere reflectance?	TOA includes atmospheric scattering and absorption; surface reflectance estimates the ground signal after atmospheric correction.	satellite radiometry	Surface Reflectance.md
When should TOA be used instead of surface reflectance?	Use TOA when studying the atmosphere itself, when atmospheric correction is unreliable, or when rapid raw-ish products are needed before SR processing.	satellite radiometry	Surface Reflectance.md; Remote Sensing.md
Why does surface reflectance matter for machine learning?	Models trained on surface reflectance generalize better across dates and scenes because atmospheric variability has been reduced.	satellite ml	Surface Reflectance.md
What is path radiance in atmospheric correction?	Path radiance is light scattered by the atmosphere into the sensor without reflecting from the target surface, contaminating the surface signal.	satellite radiometry	Surface Reflectance.md
What does albedo measure?	Albedo is the fraction of incoming radiation a surface reflects across directions and wavelengths, such as high for snow and low for ocean.	satellite radiometry	Albedo.md; Satellite.md
When does emissivity matter?	Emissivity matters in thermal remote sensing because surfaces emit heat differently relative to a blackbody, affecting temperature retrieval.	satellite radiometry	Satellite.md
Why does BRDF matter for comparing images?	BRDF means reflectance changes with sun and viewing geometry, so the same surface can look different across angles even at the same time.	satellite radiometry	Satellite.md
What is an atmospheric window useful for?	Atmospheric windows are wavelength ranges where the atmosphere is relatively transparent, making them useful for sensing the surface from space.	satellite radiometry	Satellite (Index).md
Why is thermal noise a fundamental SAR and radiometer issue?	Sensors and surrounding sources emit random energy, so weak returns or emissions can be buried unless signal-to-noise is managed.	satellite noise	Synthetic Aperture Radar.md
What does radiometric calibration do?	It converts raw digital numbers into physically meaningful measurements such as radiance or reflectance so values are comparable and interpretable.	satellite preprocessing	Satellite Image Preprocessing.md
Why is geometric correction not enough for ML-ready satellite data?	ML stacks also need consistent CRS, resolution, grid alignment, cloud masks, radiometric calibration, atmospheric correction, and nodata handling.	satellite preprocessing	Satellite Image Preprocessing.md
What does target-aligned pixels prevent?	TAP prevents half-pixel or grid shifts between rasters, so pixel stacks represent the same ground locations.	satellite preprocessing	Satellite Image Preprocessing.md
Why does cloud masking matter for optical imagery?	Cloud-covered pixels measure clouds, not the ground, so using them as valid observations corrupts classification, indices, change detection, and training data.	satellite preprocessing	Cloud Masking.md
Why are cloud shadows harder to mask than clouds?	Shadows are dark and can resemble water, burned areas, or vegetation, and their position depends on sun angle and cloud height.	satellite preprocessing	Cloud Masking.md
When is coregistration critical?	Use coregistration before change detection, time-series stacking, compositing, mosaicking, or InSAR so corresponding pixels represent the same ground point.	satellite preprocessing	Coregistration.md
Why does InSAR demand stricter coregistration than optical change detection?	Phase is extremely sensitive, so sub-pixel shifts can swamp millimeter- or centimeter-scale deformation signals.	satellite insar	Coregistration.md
How does a mosaic differ from a composite?	A mosaic stitches adjacent or overlapping scenes into one spatial product; a composite selects or combines observations over time or criteria.	satellite preprocessing	Mosaic.md; Composite.md
When is compositing useful?	Use compositing to reduce clouds, noise, gaps, or temporal variability by choosing or combining multiple observations into one product.	satellite preprocessing	Composite.md
What is pansharpening best used for?	Use pansharpening for visual interpretation and high-resolution color-like products, not for precise spectral analysis.	satellite preprocessing	Pansharpening.md
Why can pansharpening harm analytic products?	It injects spatial detail from the pan band but can distort spectral values, making indices or material analysis less reliable.	satellite preprocessing	Pansharpening.md
When should you reproject satellite data?	Reproject when datasets must overlay, measure, join, or model in a common CRS suited to the analysis area and metric.	satellite projection	Projection.md; Satellite Image Preprocessing.md
What is spectral unmixing useful for?	Use it when one pixel contains multiple materials and you need fractional abundances instead of a single class label.	satellite hyperspectral	Remote Sensing.md
What makes spectral matching different from land-cover classification?	Spectral matching compares observed spectra to reference signatures to identify materials or conditions, while classification assigns broader semantic classes.	satellite hyperspectral	Satellite (Index).md
When should Analysis Ready Data be preferred?	Use ARD when you want standardized, orthorectified, atmospherically corrected, cloud-masked, consistently projected imagery ready for analysis.	satellite preprocessing	Satellite.md
What is the risk of assuming ARD is perfect?	Preprocessing can introduce errors from bad atmospheric data, DEM issues, cloud masks, resampling, or geometry, so critical workflows still need QA.	satellite preprocessing	Satellite Image Preprocessing.md; Surface Reflectance.md
When is SAR the right sensing mode?	Use SAR when darkness, clouds, moisture, roughness, structure, deformation, vessels, floods, or all-weather monitoring matter more than natural-color interpretation.	satellite sar	Synthetic Aperture Radar.md
Why does SAR not look like an optical image?	SAR measures coherent microwave backscatter from geometry, roughness, moisture, and dielectric properties, not reflected visible color.	satellite sar	Synthetic Aperture Radar.md
Why can SAR image at night and through clouds?	SAR provides its own microwave illumination and most radar wavelengths pass through clouds, so it does not depend on sunlight or clear skies.	satellite sar	Synthetic Aperture Radar.md
What is the synthetic aperture in SAR?	It is the effective long antenna created by combining radar returns collected as the satellite moves along its flight path.	satellite sar	Synthetic Aperture Radar.md
How do range and azimuth resolution differ in SAR?	Range resolution depends mainly on pulse bandwidth or chirp; azimuth resolution depends on the synthetic aperture length and processing.	satellite sar	Synthetic Aperture Radar.md
Why is SAR resolution not degraded by distance the same way optical resolution is?	SAR resolution comes from pulse bandwidth and synthetic aperture processing, though signal-to-noise still worsens with distance.	satellite sar	Synthetic Aperture Radar.md
Why is SAR normally side-looking?	Side-looking geometry separates targets by range; straight-down radar can place different ground points with the same range into the same image location.	satellite sar	Synthetic Aperture Radar.md
What does backscatter brightness usually encode?	Brightness reflects how much radar energy returns to the sensor, influenced by roughness, moisture, geometry, metal, vegetation, and viewing angle.	satellite sar	Backscatter.md; Synthetic Aperture Radar.md
Why do calm water and ships look so different in SAR?	Calm water often reflects radar away and appears dark, while ships or metal structures produce strong returns and appear bright.	satellite sar	Synthetic Aperture Radar.md
How do SAR bands change interpretation?	Shorter wavelengths emphasize surface texture and fine structure; longer wavelengths penetrate deeper into vegetation, soil, ice, or canopy.	satellite sar	Synthetic Aperture Radar.md
When is L-band SAR valuable?	Use L-band for forest biomass, vegetation structure, soil moisture sensitivity, and deformation where deeper penetration is useful.	satellite sar	Synthetic Aperture Radar.md
When is C-band SAR valuable?	Use C-band for surface change, agriculture, floods, sea ice, and broad operational monitoring such as Sentinel-1-style workflows.	satellite sar	Synthetic Aperture Radar.md; Sentinel.md
When is X-band SAR valuable?	Use X-band for fine urban detail, surface texture, sea ice surface, and high-resolution commercial or defense imaging.	satellite sar	Synthetic Aperture Radar.md
How do co-pol and cross-pol SAR channels differ?	Co-pol HH or VV often emphasizes surface and double-bounce scattering; cross-pol HV or VH often emphasizes volume scattering such as vegetation.	satellite sar	Synthetic Aperture Radar.md
When is quad-pol data worth the added complexity?	Use quad-pol when scattering mechanism decomposition matters, such as distinguishing surface, double-bounce, and volume scattering.	satellite sar	Synthetic Aperture Radar.md
What is speckle in SAR imagery?	Speckle is granular coherent interference from many scatterers inside a resolution cell, not ordinary camera noise.	satellite sar	Synthetic Aperture Radar.md
Why should speckle be handled carefully before ML or interpretation?	It can look like texture or change, so filtering or multi-looking may be needed while preserving real spatial detail.	satellite sar	Synthetic Aperture Radar.md
What is layover in SAR?	Layover occurs when returns from tall objects reach the sensor before lower ground returns, displacing tall features toward the sensor and overlapping terrain.	satellite sar	Synthetic Aperture Radar.md
What is foreshortening in SAR?	Foreshortening compresses slopes facing the radar in range, making terrain appear shortened or brightened.	satellite sar	Synthetic Aperture Radar.md
What is radar shadow?	Radar shadow is an area hidden from radar illumination because terrain or objects block the line of sight, leaving no return.	satellite sar	Synthetic Aperture Radar.md
When is InSAR the right technique?	Use InSAR when phase differences between SAR acquisitions can measure elevation or surface deformation such as subsidence, earthquakes, volcanoes, ice motion, or infrastructure movement.	satellite insar	Interferometric Synthetic Aperture Radar.md; Synthetic Aperture Radar.md
What does DInSAR add to basic InSAR?	DInSAR removes or accounts for topographic phase so deformation between acquisitions can be isolated.	satellite insar	Differential Interferometric Synthetic Aperture Radar.md
When does InSAR fail or weaken?	It weakens when coherence is lost from vegetation growth, water, snow, construction, soil change, long time gaps, orbit error, atmosphere, or poor coregistration.	satellite insar	Synthetic Aperture Radar.md
How is ISAR different from SAR?	SAR uses sensor motion to synthesize aperture; ISAR uses target motion, often for imaging moving objects such as ships or aircraft.	satellite sar	Inverse Synthetic Aperture Radar.md
When should ScanSAR mode be chosen?	Use ScanSAR for wide-area coverage when swath matters more than fine resolution.	satellite sar	Synthetic Aperture Radar.md
What is TOPSAR designed to improve?	TOPSAR sweeps the beam in bursts to reduce ScanSAR scalloping and support wide-swath, more uniform, InSAR-compatible products.	satellite sar	Synthetic Aperture Radar.md
When is spotlight SAR mode appropriate?	Use spotlight when maximum resolution over a small target is more important than broad coverage.	satellite sar	Synthetic Aperture Radar.md
What is the core SAR mode tradeoff?	Longer dwell on one patch improves resolution, but time spent dwelling reduces swath and coverage elsewhere.	satellite sar	Synthetic Aperture Radar.md
When is Landsat the right data source?	Use Landsat for long-term land change analysis because it provides the longest continuous civil Earth observation record since 1972.	satellite missions	Landsat.md; usgs.gov
Why is Landsat less ideal for rapid event monitoring than GOES or Planet?	Landsat's repeat interval and cloud vulnerability limit rapid revisit, though its calibrated long-term record is excellent for trends.	satellite missions	Landsat.md
When is Sentinel-2 usually preferable to Landsat for vegetation monitoring?	Sentinel-2 has higher revisit with the constellation, 10 to 20 meter bands, and red-edge bands useful for vegetation stress and chlorophyll.	satellite missions	Sentinel.md; esa.int
When is Sentinel-1 preferable to Sentinel-2?	Use Sentinel-1 SAR when clouds, darkness, floods, deformation, ice, or surface roughness matter and optical color is not required.	satellite missions	Sentinel.md
What makes MODIS useful despite moderate spatial resolution?	MODIS provides frequent broad-coverage observations, making it useful for global land, ocean, atmosphere, fire, vegetation, and climate products.	satellite missions	Moderate Resolution Imaging Spectroradiometer.md; modis.gsfc.nasa.gov
What was SRTM's main contribution?	SRTM produced near-global elevation data using interferometric radar from the Space Shuttle, becoming a foundational DEM source.	satellite missions	Shuttle Radar Topography Mission.md; nasa.gov
When is GOES-R data the right source?	Use GOES-R for high-cadence weather, fire, smoke, clouds, storms, and atmospheric monitoring over the Americas from geostationary orbit.	satellite missions	GOES-R.md; noaa.gov
What does GOES-R trade for high temporal resolution?	GOES-R gains persistent high-cadence coverage but has coarser spatial resolution than LEO imagers because it sits in GEO.	satellite missions	GOES-R.md
When is GEDI useful?	Use GEDI for forest structure, canopy height, biomass-related studies, and surface elevation profiles from spaceborne LiDAR.	satellite missions	Global Ecosystem Dynamics Investigation.md; nasa.gov
When is NISAR relevant?	Use NISAR for surface change, ecosystems, cryosphere, deformation, and hazard monitoring with L-band and S-band SAR observations.	satellite missions	NISAR; science.nasa.gov
Why is Iridium an important constellation example?	Iridium shows how LEO satellites can provide global voice and data coverage through a coordinated communications constellation.	satellite constellations	Iridium Satellite Constellation.md
What does GNSS provide that ordinary imagery satellites do not?	GNSS provides positioning, navigation, and timing signals; receivers compute location from satellite timing and orbit data rather than collecting images.	satellite gnss	Global Navigation Satellite System.md
Why do GNSS receivers need more than satellite signals for high precision?	Raw GNSS has clock, orbit, ionospheric, tropospheric, multipath, geometry, receiver, jamming, and spoofing errors, so high precision needs corrections and sensor fusion.	satellite gnss	Global Navigation Satellite System.md
How do RTK and PPP differ as GNSS correction approaches?	RTK uses nearby reference-station corrections for real-time centimeter positioning; PPP uses precise global orbit and clock corrections without a nearby base but often needs convergence time.	satellite gnss	Global Navigation Satellite System.md
What does SBAS add to GNSS?	SBAS broadcasts regional corrections and integrity information over satellite links, improving civil GNSS reliability and accuracy, especially for aviation.	satellite gnss	Global Navigation Satellite System.md
When is Maxar imagery a strong fit?	Use Maxar for very-high-resolution optical tasking, defense, precision mapping, infrastructure, damage assessment, and situations where sub-meter detail matters.	satellite providers	Maxar.md
What is Maxar's main limitation compared with broad survey constellations?	High-resolution tasking is expensive and capacity-limited, and optical imaging still fails under clouds or darkness.	satellite providers	Maxar.md
When is PlanetScope a strong fit?	Use PlanetScope when daily broad-area optical monitoring and time-series change detection matter more than sub-meter detail.	satellite providers	Planet Labs.md
How do PlanetScope and SkySat differ?	PlanetScope provides daily medium-resolution broad coverage; SkySat is taskable higher-resolution imagery for specific targets.	satellite providers	Planet Labs.md
Why is Planet's business model important for EO reasoning?	It trades individual satellite capability for a large constellation, enabling frequent global land imaging and time-series products.	satellite providers	Planet Labs.md
When is Capella or ICEYE-style commercial SAR useful?	Use commercial SAR for frequent all-weather, day-night tasking, maritime monitoring, flood mapping, defense, infrastructure, and rapid revisit.	satellite providers	Capella Space.md; ICEYE.md
What distinguishes SAR providers from optical providers operationally?	SAR providers can collect through clouds and darkness but produce radar backscatter products that require specialized interpretation and preprocessing.	satellite providers	Synthetic Aperture Radar.md
When is BlackSky's model useful?	Use BlackSky-style monitoring when high-revisit tasking and rapid analytic context around specific sites matter more than open systematic coverage.	satellite providers	BlackSky.md
